lat,lon,category,sub_category,tags
41.8600036,-87.6330112,amenity,bench,{'amenity': 'bench'}
41.8600037,-87.6241245,public_transport,platform,"{'bench': 'yes', 'bin': 'yes', 'bus': 'yes', 'highway': 'bus_stop', 'name': 'Michigan & 16th Street', 'network': 'CTA', 'network:wikidata': 'Q117309', 'network:wikipedia': 'en:Chicago Transit Authority', 'operator': 'Chicago Transit Authority', 'public_transport': 'platform', 'ref': '1595', 'shelter': 'yes'}"
41.8600065,-87.6239856,public_transport,stop_position,"{'bus': 'yes', 'name': 'Michigan & 16th Street', 'network': 'CTA', 'operator': 'Chicago Transit Authority', 'public_transport': 'stop_position', 'ref': '1595'}"
41.8600082,-87.6273534,public_transport,stop_position,"{'bus': 'yes', 'loc_ref': '0 E/W', 'name': 'State & 16th Street', 'network': 'CTA', 'operator': 'Chicago Transit Authority', 'public_transport': 'stop_position', 'ref': '15357'}"
41.8600093,-87.6271778,public_transport,stop_position,"{'bus': 'yes', 'loc_ref': '0 E/W', 'name': 'State & 16th Street', 'network': 'CTA', 'operator': 'Chicago Transit Authority', 'public_transport': 'stop_position', 'ref': '2349'}"
41.8600186,-87.6271051,public_transport,platform,"{'bench': 'no', 'bus': 'yes', 'highway': 'bus_stop', 'name': 'State & 16th Street', 'network': 'CTA', 'network:wikidata': 'Q117309', 'network:wikipedia': 'en:Chicago Transit Authority', 'operator': 'Chicago Transit Authority', 'public_transport': 'platform', 'ref': '2349', 'shelter': 'no'}"
41.8600828,-87.6167412,amenity,bicycle_parking,"{'access': 'yes', 'amenity': 'bicycle_parking', 'covered': 'no'}"
41.8601625,-87.6147899,amenity,bench,{'amenity': 'bench'}
41.8601724,-87.614766,amenity,drinking_water,"{'access': 'yes', 'amenity': 'drinking_water', 'bottle': 'no', 'fee': 'no', 'wheelchair': 'yes'}"
41.8603708,-87.6123949,leisure,slipway,"{'leisure': 'slipway', 'seamark:small_craft_facility:category': 'slipway', 'seamark:type': 'small_craft_facility'}"
41.8603781,-87.6470525,public_transport,stop_position,"{'name': 'Halsted Street', 'network': 'Metra', 'public_transport': 'stop_position', 'railway': 'stop', 'railway:position': 'mi:1.8', 'ref:metra': 'HALSTED', 'train': 'yes'}"
41.8603805,-87.6257873,amenity,bicycle_rental,"{'amenity': 'bicycle_rental', 'brand': 'Divvy', 'brand:wikidata': 'Q16973938', 'fee': 'yes', 'name': 'Wabash Ave & 16th St', 'network': 'Divvy', 'network:wikidata': 'Q16973938', 'network:wikipedia': 'en:Divvy', 'opening_hours': '24/7', 'operator': 'Lyft', 'operator:type': 'private', 'operator:wikidata': 'Q17077936', 'operator:wikipedia': 'en:Lyft', 'payment:app': 'yes', 'payment:credit_cards': 'yes'}"
41.8604098,-87.6123967,leisure,slipway,"{'leisure': 'slipway', 'seamark:small_craft_facility:category': 'slipway', 'seamark:type': 'small_craft_facility'}"
41.8604144,-87.6474466,amenity,vending_machine,"{'amenity': 'vending_machine', 'blind': 'yes', 'covered': 'yes', 'currency:USD': 'yes', 'name': 'Metra', 'operator': 'Metra', 'payment:cash': 'no', 'payment:coins': 'no', 'payment:credit_cards': 'yes', 'vending': 'public_transport_tickets'}"
